miss_type,B1_sim,comp_mean,N,T.obs,B1_est,B1_pow,B0_est,B0_pow,B1_se,B0_se,conv,bias_mean,model_observations,B1_bias
extreme_oneside,0.7,0.6,100,20,0.319,1,1.463,0.694,0.035,0.591,1000,1.508,847.743,-0.381
extreme_oneside,0.7,0.6,100,50,0.433,1,1.59,0.777,0.019,0.583,1000,1.49,2277.949,-0.267
extreme_oneside,0.7,0.6,100,100,0.465,1,1.672,0.81,0.013,0.579,1000,1.516,4666.643,-0.235
extreme_oneside,0.7,0.8,20,20,0.447,1,0.775,0.105,0.058,1.301,1000,1.127,260.455,-0.253
extreme_oneside,0.7,0.8,20,50,0.524,1,0.917,0.117,0.033,1.291,1000,0.924,687.522,-0.176
extreme_oneside,0.7,0.8,20,100,0.546,1,0.942,0.131,0.023,1.275,1000,0.858,1400.336,-0.154
extreme_oneside,0.7,0.8,100,20,0.45,1,0.788,0.253,0.026,0.59,1000,1.128,1302.038,-0.25
extreme_oneside,0.7,0.8,100,50,0.526,1,0.866,0.336,0.015,0.582,1000,0.927,3436.623,-0.174
extreme_oneside,0.7,0.8,100,100,0.548,1,0.931,0.37,0.01,0.579,1000,0.861,6999.782,-0.152
extreme_oneside,0.7,1,20,20,0.599,1,-0.038,0.072,0.042,1.3,1000,0.957,380,-0.101
extreme_oneside,0.7,1,20,50,0.663,1,0.04,0.049,0.024,1.29,1000,0.632,980,-0.037
extreme_oneside,0.7,1,20,100,0.682,1,0.039,0.07,0.017,1.274,1000,0.455,1980,-0.018
extreme_oneside,0.7,1,100,20,0.6,1,-0.023,0.057,0.019,0.589,1000,0.957,1900,-0.1
extreme_oneside,0.7,1,100,50,0.664,1,-0.013,0.051,0.011,0.582,1000,0.633,4900,-0.036
extreme_oneside,0.7,1,100,100,0.682,1,0.028,0.058,0.007,0.579,1000,0.455,9900,-0.018
extreme_twosided,0.3,0.4,20,20,-0.093,0.127,-0.017,0.058,0.164,0.568,1000,0.46,57.138,-0.393
extreme_twosided,0.3,0.4,20,50,-0.018,0.074,0.016,0.049,0.086,0.556,1000,0.297,157.21,-0.318
extreme_twosided,0.3,0.4,20,100,0.007,0.067,0.017,0.068,0.058,0.547,1000,0.21,323.234,-0.293
extreme_twosided,0.3,0.4,100,20,-0.095,0.28,-0.009,0.057,0.072,0.257,1000,0.462,286.195,-0.395
extreme_twosided,0.3,0.4,100,50,-0.016,0.088,-0.005,0.05,0.038,0.25,1000,0.295,784.434,-0.316
extreme_twosided,0.3,0.4,100,100,0.009,0.063,0.012,0.057,0.026,0.248,1000,0.21,1616.849,-0.291
extreme_twosided,0.3,0.6,20,20,-0.007,0.075,-0.017,0.065,0.094,0.562,1000,0.448,133.457,-0.307
extreme_twosided,0.3,0.6,20,50,0.043,0.122,0.017,0.05,0.055,0.555,1000,0.289,355.744,-0.257
extreme_twosided,0.3,0.6,20,100,0.056,0.329,0.016,0.07,0.038,0.547,1000,0.204,725.991,-0.244
extreme_twosided,0.3,0.6,100,20,-0.003,0.067,-0.009,0.062,0.042,0.255,1000,0.45,668.197,-0.303
extreme_twosided,0.3,0.6,100,50,0.043,0.418,-0.006,0.051,0.024,0.25,1000,0.287,1777.685,-0.257
extreme_twosided,0.3,0.6,100,100,0.057,0.932,0.012,0.056,0.017,0.248,1000,0.205,3630.166,-0.243
extreme_twosided,0.3,0.8,20,20,0.086,0.252,-0.017,0.071,0.067,0.56,1000,0.439,240.052,-0.214
extreme_twosided,0.3,0.8,20,50,0.12,0.825,0.018,0.049,0.04,0.554,1000,0.282,629.557,-0.18
extreme_twosided,0.3,0.8,20,100,0.131,1,0.016,0.072,0.028,0.547,1000,0.2,1278.479,-0.169
extreme_twosided,0.3,0.8,100,20,0.09,0.839,-0.009,0.055,0.03,0.254,1000,0.44,1200.909,-0.21
extreme_twosided,0.3,0.8,100,50,0.121,1,-0.006,0.051,0.018,0.25,1000,0.281,3147.507,-0.179
extreme_twosided,0.3,0.8,100,100,0.131,1,0.012,0.061,0.012,0.248,1000,0.2,6392.975,-0.169
extreme_twosided,0.3,1,20,20,0.23,0.992,-0.017,0.07,0.051,0.559,1000,0.433,380,-0.07
extreme_twosided,0.3,1,20,50,0.273,1,0.017,0.049,0.031,0.553,1000,0.277,980,-0.027
extreme_twosided,0.3,1,20,100,0.288,1,0.017,0.071,0.022,0.546,1000,0.197,1980,-0.012
extreme_twosided,0.3,1,100,20,0.23,1,-0.01,0.054,0.023,0.253,1000,0.434,1900,-0.07
extreme_twosided,0.3,1,100,50,0.273,1,-0.005,0.051,0.014,0.249,1000,0.277,4900,-0.027
extreme_twosided,0.3,1,100,100,0.287,1,0.012,0.058,0.01,0.248,1000,0.197,9900,-0.013
extreme_twosided,0.5,0.4,20,20,-0.045,0.091,-0.023,0.06,0.158,0.789,1000,0.62,60.354,-0.545
extreme_twosided,0.5,0.4,20,50,0.019,0.072,0.025,0.049,0.082,0.776,1000,0.404,167.908,-0.481
extreme_twosided,0.5,0.4,20,100,0.037,0.11,0.022,0.071,0.055,0.765,1000,0.288,347.744,-0.463
extreme_twosided,0.5,0.4,100,20,-0.05,0.143,-0.013,0.056,0.07,0.357,1000,0.623,302.202,-0.55
extreme_twosided,0.5,0.4,100,50,0.021,0.112,-0.008,0.051,0.037,0.35,1000,0.403,839.74,-0.479
extreme_twosided,0.5,0.4,100,100,0.04,0.371,0.017,0.059,0.025,0.347,1000,0.288,1739.046,-0.46
extreme_twosided,0.5,0.6,20,20,0.075,0.144,-0.024,0.069,0.092,0.783,1000,0.61,137.978,-0.425
extreme_twosided,0.5,0.6,20,50,0.116,0.574,0.024,0.049,0.053,0.776,1000,0.396,372.539,-0.384
extreme_twosided,0.5,0.6,20,100,0.128,0.94,0.023,0.069,0.036,0.765,1000,0.283,763.359,-0.372
extreme_twosided,0.5,0.6,100,20,0.08,0.494,-0.014,0.057,0.041,0.355,1000,0.612,690.737,-0.42
extreme_twosided,0.5,0.6,100,50,0.117,0.998,-0.008,0.053,0.024,0.35,1000,0.395,1861.448,-0.383
extreme_twosided,0.5,0.6,100,100,0.129,1,0.016,0.06,0.016,0.347,1000,0.283,3816.886,-0.371
extreme_twosided,0.5,0.8,20,20,0.217,0.88,-0.023,0.07,0.065,0.783,1000,0.602,242.753,-0.283
extreme_twosided,0.5,0.8,20,50,0.25,1,0.024,0.049,0.039,0.775,1000,0.39,641.444,-0.25
extreme_twosided,0.5,0.8,20,100,0.258,1,0.023,0.069,0.027,0.765,1000,0.278,1307.717,-0.242
extreme_twosided,0.5,0.8,100,20,0.219,1,-0.013,0.057,0.029,0.355,1000,0.603,1213.503,-0.281
extreme_twosided,0.5,0.8,100,50,0.25,1,-0.008,0.051,0.017,0.349,1000,0.389,3207.888,-0.25
extreme_twosided,0.5,0.8,100,100,0.259,1,0.016,0.059,0.012,0.347,1000,0.278,6538.376,-0.241
extreme_twosided,0.5,1,20,20,0.416,1,-0.023,0.07,0.048,0.781,1000,0.596,380,-0.084
extreme_twosided,0.5,1,20,50,0.468,1,0.024,0.05,0.029,0.774,1000,0.385,980,-0.032
extreme_twosided,0.5,1,20,100,0.485,1,0.023,0.071,0.02,0.765,1000,0.275,1980,-0.015
extreme_twosided,0.5,1,100,20,0.416,1,-0.014,0.055,0.021,0.354,1000,0.597,1900,-0.084
extreme_twosided,0.5,1,100,50,0.469,1,-0.008,0.051,0.013,0.349,1000,0.385,4900,-0.031
extreme_twosided,0.5,1,100,100,0.485,1,0.017,0.058,0.009,0.347,1000,0.275,9900,-0.015
extreme_twosided,0.7,0.4,20,20,0.04,0.089,-0.035,0.066,0.149,1.305,1000,0.985,66.327,-0.66
extreme_twosided,0.7,0.4,20,50,0.089,0.234,0.043,0.05,0.076,1.292,1000,0.653,190.214,-0.611
extreme_twosided,0.7,0.4,20,100,0.108,0.552,0.038,0.069,0.051,1.275,1000,0.471,397.114,-0.592
extreme_twosided,0.7,0.4,100,20,0.045,0.17,-0.024,0.054,0.066,0.591,1000,0.986,332.557,-0.655
extreme_twosided,0.7,0.4,100,50,0.093,0.752,-0.013,0.051,0.034,0.582,1000,0.653,949.831,-0.607
extreme_twosided,0.7,0.4,100,100,0.109,0.999,0.028,0.059,0.023,0.579,1000,0.471,1986.384,-0.591
extreme_twosided,0.7,0.6,20,20,0.216,0.656,-0.038,0.067,0.087,1.302,1000,0.974,145.898,-0.484
extreme_twosided,0.7,0.6,20,50,0.252,0.992,0.039,0.049,0.05,1.292,1000,0.645,401.624,-0.448
extreme_twosided,0.7,0.6,20,100,0.258,1,0.038,0.07,0.034,1.275,1000,0.465,830.492,-0.442
extreme_twosided,0.7,0.6,100,20,0.222,0.998,-0.023,0.054,0.039,0.59,1000,0.975,729.078,-0.478
extreme_twosided,0.7,0.6,100,50,0.255,1,-0.013,0.05,0.022,0.582,1000,0.645,2009.366,-0.445
extreme_twosided,0.7,0.6,100,100,0.26,1,0.028,0.061,0.015,0.579,1000,0.465,4152.299,-0.44
extreme_twosided,0.7,0.8,20,20,0.398,1,-0.039,0.069,0.061,1.301,1000,0.964,246.67,-0.302
extreme_twosided,0.7,0.8,20,50,0.437,1,0.04,0.049,0.035,1.291,1000,0.637,660.377,-0.263
extreme_twosided,0.7,0.8,20,100,0.448,1,0.038,0.073,0.024,1.275,1000,0.46,1353.563,-0.252
extreme_twosided,0.7,0.8,100,20,0.4,1,-0.022,0.054,0.027,0.589,1000,0.964,1233.823,-0.3
extreme_twosided,0.7,0.8,100,50,0.44,1,-0.013,0.05,0.016,0.582,1000,0.637,3303.088,-0.26
extreme_twosided,0.7,0.8,100,100,0.448,1,0.027,0.06,0.011,0.579,1000,0.459,6767.313,-0.252
extreme_twosided,0.7,1,20,20,0.599,1,-0.038,0.072,0.042,1.3,1000,0.957,380,-0.101
extreme_twosided,0.7,1,20,50,0.663,1,0.04,0.049,0.024,1.29,1000,0.632,980,-0.037
extreme_twosided,0.7,1,20,100,0.682,1,0.039,0.07,0.017,1.274,1000,0.455,1980,-0.018
extreme_twosided,0.7,1,100,20,0.6,1,-0.023,0.057,0.019,0.589,1000,0.957,1900,-0.1
extreme_twosided,0.7,1,100,50,0.664,1,-0.013,0.051,0.011,0.582,1000,0.633,4900,-0.036
extreme_twosided,0.7,1,100,100,0.682,1,0.028,0.058,0.007,0.579,1000,0.455,9900,-0.018
mcar,0.3,0.4,20,20,0.134,0.139,-0.01,0.053,0.162,0.61,1000,0.584,56.259,-0.166
mcar,0.3,0.4,20,50,0.244,0.8,0.005,0.053,0.085,0.573,1000,0.371,152.099,-0.056
mcar,0.3,0.4,20,100,0.272,0.998,0.028,0.058,0.056,0.561,1000,0.265,312.348,-0.028
mcar,0.3,0.4,100,20,0.143,0.527,-0.001,0.058,0.072,0.277,1000,0.581,279.7,-0.157
mcar,0.3,0.4,100,50,0.244,1,-0.003,0.052,0.038,0.257,1000,0.373,760.372,-0.056
mcar,0.3,0.4,100,100,0.271,1,-0.006,0.058,0.025,0.252,1000,0.264,1560.222,-0.029
mcar,0.3,0.6,20,20,0.197,0.581,0.011,0.057,0.093,0.576,1000,0.507,131.751,-0.103
mcar,0.3,0.6,20,50,0.26,0.999,-0.004,0.054,0.053,0.557,1000,0.324,347.918,-0.04
mcar,0.3,0.6,20,100,0.281,1,0.031,0.064,0.037,0.554,1000,0.23,708.329,-0.019
mcar,0.3,0.6,100,20,0.193,0.998,-0.019,0.05,0.041,0.259,1000,0.507,659.602,-0.107
mcar,0.3,0.6,100,50,0.259,1,-0.001,0.051,0.024,0.251,1000,0.323,1740.053,-0.041
mcar,0.3,0.6,100,100,0.281,1,0.006,0.045,0.016,0.249,1000,0.229,3540.097,-0.019
mcar,0.3,0.8,20,20,0.213,0.882,-0.011,0.063,0.066,0.565,1000,0.458,240.068,-0.087
mcar,0.3,0.8,20,50,0.268,1,-0.019,0.062,0.039,0.552,1000,0.292,624.317,-0.032
mcar,0.3,0.8,20,100,0.284,1,-0.011,0.078,0.027,0.546,1000,0.21,1263.874,-0.016
mcar,0.3,0.8,100,20,0.216,1,-0.002,0.051,0.029,0.254,1000,0.463,1200.284,-0.084
mcar,0.3,0.8,100,50,0.268,1,-0.004,0.05,0.018,0.251,1000,0.296,3120.256,-0.032
mcar,0.3,0.8,100,100,0.284,1,-0.002,0.065,0.012,0.248,1000,0.21,6319.852,-0.016
mcar,0.3,1,20,20,0.23,0.992,-0.017,0.07,0.051,0.559,1000,0.433,380,-0.07
mcar,0.3,1,20,50,0.273,1,0.017,0.049,0.031,0.553,1000,0.277,980,-0.027
mcar,0.3,1,20,100,0.288,1,0.017,0.071,0.022,0.546,1000,0.197,1980,-0.012
mcar,0.3,1,100,20,0.23,1,-0.01,0.054,0.023,0.253,1000,0.434,1900,-0.07
mcar,0.3,1,100,50,0.273,1,-0.005,0.051,0.014,0.249,1000,0.277,4900,-0.027
mcar,0.3,1,100,100,0.287,1,0.012,0.058,0.01,0.248,1000,0.197,9900,-0.013
mcar,0.5,0.4,20,20,0.33,0.545,-0.016,0.058,0.157,0.822,1000,0.729,56.259,-0.17
mcar,0.5,0.4,20,50,0.443,1,0.008,0.05,0.079,0.791,1000,0.47,152.099,-0.057
mcar,0.5,0.4,20,100,0.472,1,0.04,0.058,0.052,0.78,1000,0.337,312.348,-0.028
mcar,0.5,0.4,100,20,0.341,0.993,-0.002,0.057,0.069,0.374,1000,0.725,279.7,-0.159
mcar,0.5,0.4,100,50,0.443,1,-0.003,0.052,0.035,0.355,1000,0.472,760.372,-0.057
mcar,0.5,0.4,100,100,0.472,1,-0.009,0.058,0.023,0.35,1000,0.336,1560.222,-0.028
